step = 	115	 obj = 	2073.0918	 error = 	0.59479
step = 	116	 obj = 	2072.6014	 error = 	0.59434
step = 	117	 obj = 	2072.1187	 error = 	0.59389
step = 	118	 obj = 	2071.6433	 error = 	0.59345
step = 	119	 obj = 	2071.1747	 error = 	0.59302
step = 	120	 obj = 	2070.7129	 error = 	0.59259
step = 	121	 obj = 	2070.2577	 error = 	0.59217
step = 	122	 obj = 	2069.8091	 error = 	0.59175
step = 	123	 obj = 	2069.3672	 error = 	0.59134
step = 	124	 obj = 	2068.9319	 error = 	0.59093
step = 	125	 obj = 	2068.5034	 error = 	0.59053
step = 	126	 obj = 	2068.0818	 error = 	0.59013
step = 	127	 obj = 	2067.6669	 error = 	0.58974
step = 	128	 obj = 	2067.2588	 error = 	0.58936
step = 	129	 obj = 	2066.8573	 error = 	0.58898
step = 	130	 obj = 	2066.4623	 error = 	0.5886
step = 	131	 obj = 	2066.0733	 error = 	0.58823
step = 	132	 obj = 	2065.6896	 error = 	0.58787
step = 	133	 obj = 	2065.3107	 error = 	0.58752
step = 	134	 obj = 	2064.9367	 error = 	0.58718
step = 	135	 obj = 	2064.569	 error = 	0.58684
step = 	136	 obj = 	2064.2077	 error = 	0.5865
step = 	137	 obj = 	2063.8517	 error = 	0.58616
step = 	138	 obj = 	2063.5006	 error = 	0.58582
step = 	139	 obj = 	2063.155	 error = 	0.58549
step = 	140	 obj = 	2062.816	 error = 	0.58517
step = 	141	 obj = 	2062.4842	 error = 	0.58484
step = 	142	 obj = 	2062.1592	 error = 	0.58452
step = 	143	 obj = 	2061.8404	 error = 	0.58421
step = 	144	 obj = 	2061.527	 error = 	0.58389
step = 	145	 obj = 	2061.2188	 error = 	0.58359
step = 	146	 obj = 	2060.9158	 error = 	0.58329
step = 	147	 obj = 	2060.6178	 error = 	0.583
step = 	148	 obj = 	2060.3249	 error = 	0.58271
step = 	149	 obj = 	2060.037	 error = 	0.58243
step = 	150	 obj = 	2059.7541	 error = 	0.58216
